VideoID,VideoDescription,HashTags,PlayCount,CommentCount,ShareCount,VideoPlayAddr,VideoDownloadAddr,MusicID,AuthorID,DatePosted,DateFetched
7198199504405843205,Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 #gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,"['mschf', 'astroboy', 'streetwear', 'fashion', 'styling', 'outfit', 'gramps']",105300000,114400,338200,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/oAI4BAtbk8UQDJIvCVoSInfhhxCEKxlFz0gpAA/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=1650&bt=825&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmowJRCQ_vjfy2sAhLrus&mime_type=video_mp4&qs=0&rc=Z2ZmZDwzNGVmOGk7aTg7aUBpajdkOTQ6ZmRsaTMzNzczM0AuMi0zNGMvXjAxMF4wM18zYSMuYm5wcjRvNWZgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904418&l=20231009201957268DC7D53F36AA09F59C&ply_type=2&policy=2&signature=358cc8e8008b70754696e0296161194a&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/ogFCg8VkgUApECvbnbJIltQ7DohB4Az7xISIQf/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=1724&bt=862&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmowJRCQ_vjfy2sAhLrus&mime_type=video_mp4&qs=0&rc=NzY4aWk7NDs7PDs2Z2VnaEBpajdkOTQ6ZmRsaTMzNzczM0AyYzM1YjItNmIxXl4uLi0yYSMuYm5wcjRvNWZgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904418&l=20231009201957268DC7D53F36AA09F59C&ply_type=2&policy=2&signature=ebb4d15e8ad6beec4e1d9b3de71349de&tk=tt_chain_token,7099522931209816066,HOTEL LOBBY (Unc & Phew),jaadiee,2023-02-09 16:50:28+00:00,1696882791
7017520592807103749,Thank you sm for letting me know  my videos are being stolen! I have reported them so hopefully they get taken down ❤️ #disney #sewing #fashion #diy,"['fashion', 'diy', 'disney', 'sewing']",94800000,76600,82500,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/610b13bd1b414337991fc768febb3ac6/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=3168&bt=1584&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoqJRCQ_vjqTdsAhLrus&mime_type=video_mp4&qs=0&rc=Njg0Ozs4Ozw8OjM2OTYzZEBpamh0ZmU6ZmttODMzNzczM0AtXzA2YS0yNTExMF82Y15hYSMzbW5xcjRfb2VgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904451&l=20231009201958022DE9C836E7F300136A&ply_type=2&policy=2&signature=55f22935b217fb57142469bc03a64b68&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/a3aa814fc4884de88d8d78a385891eea/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=3126&bt=1563&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoqJRCQ_vjqTdsAhLrus&mime_type=video_mp4&qs=0&rc=aWQ2ZDVmNjs1aTpoM2g2NEBpamh0ZmU6ZmttODMzNzczM0AtNWA0MWJjXzIxXjI2YjJiYSMzbW5xcjRfb2VgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904451&l=20231009201958022DE9C836E7F300136A&ply_type=2&policy=2&signature=978fb9d89019a0d21f02d628ce4a9b01&tk=tt_chain_token,6731977473061292033,"Try Everything (From ""Zootopia"")",_valentinemoon_,2021-10-10 19:23:57+00:00,1696882791
7248033321270136070,❤️ so proud of this project !  #craft #fashion #diy #beadedjewelry  ,"['fashion', 'diy', 'beadedjewelry', 'craft']",56500000,54100,83400,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/oc4C4ngcie4gABJjTkWnVNQFqDQgbBMnofirKz/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=3024&bt=1512&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmozJRCQ_vj7~usAhLrus&mime_type=video_mp4&qs=0&rc=ZjxlOzZoZGc8NTkzPDg2PEBpMzk6cWU6ZjxybDMzNzgzM0BfYi81MS8xNTYxLy5iNC5jYSM1bC41cjRvaWNgLS1kLzZzcw%3D%3D&btag=e00008000&expire=1696904414&l=20231009201958BE8A93B61F6A80E8D805&ply_type=2&policy=2&signature=1b41c7283fd1245376c80de5702c600e&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/ocTFDBAe4QyWkVgQiICnMqI4Jginnb2BJrOk4f/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=3150&bt=1575&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmozJRCQ_vj7~usAhLrus&mime_type=video_mp4&qs=0&rc=ZTdpNjw8Nzw4ZTY7NWY3OkBpMzk6cWU6ZjxybDMzNzgzM0BeYl4vYzBiNjUxMzQuMzMuYSM1bC41cjRvaWNgLS1kLzZzcw%3D%3D&btag=e00008000&expire=1696904414&l=20231009201958BE8A93B61F6A80E8D805&ply_type=2&policy=2&signature=74f743ce8b64ae4b81ea2b9b0df4d142&tk=tt_chain_token,7245176952196909058,Attention,quentaloup,2023-06-23 23:51:08+00:00,1696882791
6865297338781519110,Grateful Gramps 👴🏻💛 #gramps #opa #streetwear #fashion #drake #mode #makeover,"['streetwear', 'fashion', 'drake', 'makeover', 'gramps', 'mode', 'zimowylook', 'opa']",60900000,61800,188700,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/036fbc5b94aa497c9285abb47e9cb251/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=1866&bt=933&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmozJRCQ_vjQJhsAhLrus&mime_type=video_mp4&qs=0&rc=M2Y5OjdlaDNnPDNmN2g7ZEBpajRsajx0bHk5dzMzMzczM0A2XmAzNC5fNi0xYl80LjNfYSNgZV5sLS1rcjBfLS0zMTZzcw%3D%3D&btag=e00008000&expire=1696904412&l=20231009201959E7BDBCF7F17891FF65A6&ply_type=2&policy=2&signature=42c6444d42aaddec39dac15337302e79&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/cf44cb523d304ee9bad7b12f688ce508/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=1986&bt=993&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmozJRCQ_vjQJhsAhLrus&mime_type=video_mp4&qs=0&rc=PDdoZzc6OjpmNjRoZGk8OEBpajRsajx0bHk5dzMzMzczM0BfXy0yMjYzNmAxMDZgY2E0YSNgZV5sLS1rcjBfLS0zMTZzcw%3D%3D&btag=e00008000&expire=1696904412&l=20231009201959E7BDBCF7F17891FF65A6&ply_type=2&policy=2&signature=49f012399bd903d2cca810ca41f5a91c&tk=tt_chain_token,6851526062120110854,Know Yourself,jaadiee,2020-08-26 14:20:04+00:00,1696882791
6939314340780625158,slime looks good on ya @charlidamelio 💚 #kca #slime #charlidamelio #surprise #fashion #slimed,"['surprise', 'fashion', 'kca', 'slimed', 'slime', 'charlidamelio']",56700000,98200,179400,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/5e751a5c8c5c4a0485603905c3fbf619/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=5280&bt=2640&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoHJRCQ_vjWRusAhLrus&mime_type=video_mp4&qs=0&rc=OTs4Ozw3aTo6OGZlZmc0O0BpMzM3dDt4Om9wNDMzZzgzM0BiY2IwM2I2NjExMl5jY19fYSMwa29vaW9nXjNgLS0xLzZzcw%3D%3D&btag=e00008000&expire=1696904416&l=20231009202000A8B143A172F7F3E9CED0&ply_type=2&policy=2&signature=b04e24705ba39c2d888335098dde0188&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/a8884fc72bc84d959535f1113243b0da/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=5330&bt=2665&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoHJRCQ_vjWRusAhLrus&mime_type=video_mp4&qs=0&rc=Njg8OThmZDo1OGc3Zmk4Z0BpMzM3dDt4Om9wNDMzZzgzM0BgYGFeMTFeNTUxM2FgM2E0YSMwa29vaW9nXjNgLS0xLzZzcw%3D%3D&btag=e00008000&expire=1696904416&l=20231009202000A8B143A172F7F3E9CED0&ply_type=2&policy=2&signature=d0b7a3768520e85bfdb0612c19b14e9a&tk=tt_chain_token,6939314191018855174,original sound,nickelodeon,2021-03-14 01:23:48+00:00,1696882791
7199683549602073862,Ready for their date 🥹💐  #grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style ,"['style', 'sepatuguenih', 'grwm', 'grandparents', 'vday', 'streetwear', 'date', 'valentinesday', 'fashion', 'gramps']",47900000,78800,256800,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/oUhqjN9RHISDIbCVaC1eDDODUNnQNcAHegb7hf/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2068&bt=1034&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoEJRCQ_vjpRjsAhLrus&mime_type=video_mp4&qs=0&rc=O2Y0OTVmaDY2NzY1Mzs6aUBpajRuaWQ6ZnE5aTMzNzczM0BjNWAyNF9fNTIxNl9eLTMvYSNyY21ncjRnZ2lgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904429&l=202310092020024CD95F47A8F3F7EA535D&ply_type=2&policy=2&signature=a1e9241b1b71b9cc18c3275445961eae&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/oYPCOCPe5NH811Utejs0ACeI3UohRSA2gHN53H/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2106&bt=1053&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoEJRCQ_vjpRjsAhLrus&mime_type=video_mp4&qs=0&rc=NTRlNWdpZjg4NWk2NmQ6OkBpajRuaWQ6ZnE5aTMzNzczM0A2XzIyLWNgXzYxM19jLTEyYSNyY21ncjRnZ2lgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904429&l=202310092020024CD95F47A8F3F7EA535D&ply_type=2&policy=2&signature=eea3b16ef3d90b130467d6a6fbdef06b&tk=tt_chain_token,7112810849491831579,Love songX,jaadiee,2023-02-13 16:49:19+00:00,1696882791
7245292089494277382,,"['bestfriend', 'godness', 'techtokbrasill', 'korean', 'uaaa', 'fruitparty', 'ai逐幀', 'ดูมือถือกด3plus', 'reels', 'lyrics', 'ajkernari', 'trending', 'missgrandthailand', 'theweeknd', 'smartphones', 'fypシ゚viral', 'euro2020', 'ch3thailand', 'OlsaSüperOlur', 'techtok', 'serunyabareng', 'selfcare', 'magic5', 'jewelry', 'มาริโอ้', 'tiktoktrendreport', 'techtokbr', 'genzemployee', 'viral', 'pridemonth', 'foryoufest', 'tiktokcomedyclub', 'mylife', 'toptips', 'weightlosssurgery', 'rap', 'tiktokfashion', 'viewers', 'спасибомедикам', 'firstreel', 'speedup', 'pet', 'styleblog', 'comedia', 'f', 'ai', '花點時間看春天', 'celulartesla', 'celularandroid', 'олячубарова', 'dailyuse', 'fypage', 'kimmy_kimberley', 'family', 'familyfirst', 'valentinesday', 'scream', 'afterhours', '🐻', 'corridostumbados', 'viraltiktok', 'tiktoksparksgood', 'apifamily', 'halloweenbattle', 'friendshipgoals', 'dancemoms', 'cute', 'ldtd', 'womenoftiktok', 'historiasdevida', 'beautytips', 'celular', 'noticias', 'mario_mm38', 'wellness', 'chawsuthwe', 'mentalhealth', 'livehighlights', '音樂', 'foryourpage', 'serunyagayabareng', 'degiracontiktok', 'cheesepeople', 'tiktoknow', 'musica', 'dog', 'césar2023', 'friendship', 'cleaner', 'barbiecoredecor', 'aapiheritagemonth', 'guessthemovie', 'sixnationsrugby', 'ရောက်ပါစေfyp', 'mentalhealthawarenessmonth', 'batman', 'juniorh', 'cardiology', 'lollapalooza', 'givemethemic', 'cleanhome', 'amarbangladesh', 'capcut', 'смахнихейт', 'ai繪畫', 'tesla', 'teslaphonemodelpi', 'household', 'corecore', 'cat', 'techtokbrasilbrasil', 'fitness', 'คิมเบอร์ลี่', 'หมอหลวง', 'vtvcab', 'fruit', '1m', 'bbb', 'philippines', 'techtokbrazil', 'meditation', 'swipeouthate', 'cine', 'bff', 'tecnologia', 'elonmusktesla', 'aapimonth', 'cannes', 'plz', 'beritaditiktok', 'tiktok', 'radenrakhadpp', 'petoftiktok', 'fashion', 'teslaphone', 'ပြစရာရှိတာပြမယ်', 'safertogether', 'tiktokmusicsummit?', 'beauty', 'олимпийскийдух', 'tiktokshortfilm', 'ai逐幀動畫', 'celular2022', 'foryourpride', 'smartphone', 'мырядом', 'fakescene⚠️', 'celulares', 'celulares2022', 'techtokbrasrasil', 'elonmusk', 'youbelonghere', 'youtoo', 'tiktokeuro2020', 'rag', 'exercises', 'nationalbestfriendday', 'ดูทีวีกด33', 'bbb23']",113500000,21900,65100,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/osbkeLR8ENnj6YYDw5eJSQJdB8hkoQBEHMgJIA/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2420&bt=1210&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoiJRCQ_vj4dCsAhLrus&mime_type=video_mp4&qs=0&rc=ODNpOjU8N2g0aTU7PDk1M0BpMzluNzU6Zm46bDMzNzczM0BjYmIuYi01NTQxYTU2Yi9iYSNjX2cvcjRnMTNgLS1kMTZzcw%3D%3D&btag=e00010000&expire=1696904515&l=20231009202003AA7361CF2E63F8EA86B9&ply_type=2&policy=2&signature=05a50424cb1bfcf2da443bce4f6afccf&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/og2D6cLvIIEEJWjBMMznbBeRJSAeQnHQSOqkEk/?a=1988&ch=0&cr=3&dr=0&lr=tiktok&cd=0%7C0%7C1%7C3&cv=1&br=2720&bt=1360&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoiJRCQ_vj4dCsAhLrus&mime_type=video_mp4&qs=0&rc=NWlnOjtoOjVkZjVnZjg8NEBpMzluNzU6Zm46bDMzNzczM0BgMzAzMGIyXy4xNDZiMzU1YSNjX2cvcjRnMTNgLS1kMTZzcw%3D%3D&btag=e00010000&expire=1696904515&l=20231009202003AA7361CF2E63F8EA86B9&ply_type=2&policy=2&signature=d064d7ff200a9a0ea2528c6ba9f3a29a&tk=tt_chain_token,7233379369090353926,原聲 - 🐻☁️💛,blue_bear_tv0,2023-06-16 14:33:44+00:00,1696882791
7204888387323530501,@AVAVAV Fashion Show  #milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion ,"['fashion', 'tiktokfashion', 'fashionfail', 'milanfashionweek', 'fail', 'fashionweek', 'funny', 'lol']",123900000,31000,60200,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/ooI8UQFlG50eAtzPwfX3tV3AxeKRehDAkEc9Ex/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2746&bt=1373&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoaJRCQ_vjqTdsAhLrus&mime_type=video_mp4&qs=0&rc=ZzlpPDY1OjZnODk4ZGRlOkBpam9qM2Q6ZmloaTMzNzczM0AvLTMtLV4uXjMxYy42NWIwYSNsNTNscjRfY3JgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904425&l=20231009202004AD6F7092059761EBBBB8&ply_type=2&policy=2&signature=337543eb99138ca2ce01775ddd2febd1&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/oYPIRtMxhfAw4eQAUGQzke0EcV5DeKP8BFAtE9/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2846&bt=1423&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoaJRCQ_vjqTdsAhLrus&mime_type=video_mp4&qs=0&rc=ODU4OmVkaGY4MzhmOmRlaUBpam9qM2Q6ZmloaTMzNzczM0BgMGNgLTMvNS0xLjE0Y18tYSNsNTNscjRfY3JgLS1kMTZzcw%3D%3D&btag=e00008000&expire=1696904425&l=20231009202004AD6F7092059761EBBBB8&ply_type=2&policy=2&signature=d0f479742d7e34958a49fec2a81f7872&tk=tt_chain_token,6763841249553156097,Benny Hill Theme,hahahallberg,2023-02-27 17:26:44+00:00,1696882791
6916914133887716613,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,"['dress', 'model', 'jokes', 'goodvibes', 'gown', 'fashion', 'designer', 'ootd', 'laugh', 'happy', 'love']",44300000,15400,12900,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/aeea1a68442e45f1b6dab93376413acc/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2536&bt=1268&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8ZmoaJRCQ_vj6dbsAhLrus&mime_type=video_mp4&qs=0&rc=NDhoMzg0PDk6ZGUzOjU3OUBpMzdkcnlpZmx3eTMzZDczM0A1NTFhLV81Xy0xMC4yLS5eYSNiYmUxLmJmLnJfLS02MTZzcw%3D%3D&btag=e00008000&expire=1696904437&l=202310092020047C3EB094B7A10CE91DBA&ply_type=2&policy=2&signature=8d0ee84f5c72d4e37e94e2b5901369c9&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/da6a1d6a7a1a4784989bbef94eb87a99/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2506&bt=1253&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8ZmoaJRCQ_vj6dbsAhLrus&mime_type=video_mp4&qs=0&rc=NTYzaDU0NmY8aWk0PDVmNUBpMzdkcnlpZmx3eTMzZDczM0AuXmIxXjYwNV4xLjMwX2IvYSNiYmUxLmJmLnJfLS02MTZzcw%3D%3D&btag=e00008000&expire=1696904437&l=202310092020047C3EB094B7A10CE91DBA&ply_type=2&policy=2&signature=4bdd9e83e304102ae1e7a8bc267b9093&tk=tt_chain_token,6916914115512453893,original sound,deannagiulietti,2021-01-12 16:39:47+00:00,1696882791
6930038872109812998,"🐸 making a frog dress 🐸 (this is part 1, the base dress. part 2 will have the coat!) #frogtok #fashion #diy #frog","['diy', 'frog', 'frogtok', 'fashion']",34300000,69000,50900,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/cc6df8c73df24701a25cd906fff221f7/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C3&cv=1&br=2520&bt=1260&bti=ODszNWYuMDE6&cs=0&ds=6&ft=_rKBMBnZq8Zmo-JRCQ_vjQoGsAhLrus&mime_type=video_mp4&qs=0&rc=NmhoNzszOjxkNWY3Zzc5OUBpamt2amlmcDs6MzMzNDczM0BgMS00LjZeNWExMjQwLWMtYSNsMGNfbl9qMGpgLS0uMTZzcw%3D%3D&btag=e00008000&expire=1696904425&l=202310092020057D2EAE55094CD2E930B3&ply_type=2&policy=2&signature=c4d850cc435f83d5d6c496688c5f3c7f&tk=tt_chain_token,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/f958838fb8c944caa6ff836afe30f91f/?a=1988&ch=0&cr=3&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C3&cv=1&br=2488&bt=1244&bti=ODszNWYuMDE6&cs=0&ds=3&ft=_rKBMBnZq8Zmo-JRCQ_vjQoGsAhLrus&mime_type=video_mp4&qs=0&rc=ODNkOWVpNTU1OGU8aWU6ZUBpamt2amlmcDs6MzMzNDczM0A1NTQyYzZjXzMxXzEuYDUwYSNsMGNfbl9qMGpgLS0uMTZzcw%3D%3D&btag=e00008000&expire=1696904425&l=202310092020057D2EAE55094CD2E930B3&ply_type=2&policy=2&signature=895d4791438ff00028e6d2542807c954&tk=tt_chain_token,6751217497585747970,Campus,crescentshay,2021-02-17 01:30:26+00:00,1696882791
